BatterSide,Umpire,PlateLocSide,PlateLocHeight,PitchCall
Right,Ump1,0.1092205043,2.7663285760000003,StrikeCalled
Right,Ump1,-0.7266825248000001,1.5675155809999999,StrikeCalled
Right,Ump1,-1.5276037759999999,1.150394877,BallCalled
Right,Ump1,0.519475068,1.092489192,BallCalled
Right,Ump1,-0.48602044990000004,1.533747585,StrikeCalled
Left,Ump1,1.23346906,0.7836185856,BallCalled
Left,Ump1,1.376827852,0.9901731958,BallCalled
Left,Ump1,1.1550500609999999,2.917995481,StrikeCalled
Right,Ump1,-2.187627174,2.2540708830000002,BallCalled
Right,Ump1,-1.014427851,2.8253187860000004,StrikeCalled
Right,Ump1,0.304618984,0.38455802240000003,BallCalled
Right,Ump1,-0.1749727426,4.5393434269999995,BallCalled
Left,Ump1,1.1621924240000001,2.90346502,StrikeCalled
Left,Ump1,1.759754885,0.5612507867000001,BallCalled
Left,Ump1,0.5484925031,3.499826583,BallCalled
Left,Ump1,2.17311894,3.4710804630000003,BallCalled
Left,Ump1,1.497534428,2.429373778,BallCalled
Left,Ump1,1.011379869,3.327099685,BallCalled
Right,Ump1,1.261022093,3.8035808110000002,BallCalled
Right,Ump1,-0.5274380320000001,2.643655671,StrikeCalled
Left,Ump1,-0.4484335644,-1.076297475,BallCalled
Left,Ump1,0.5516121151,2.675972679,StrikeCalled
Left,Ump1,1.0463283079999999,1.8954197240000001,StrikeCalled
Left,Ump1,0.1566407245,1.041514689,BallCalled
Left,Ump1,0.760075852,3.526881635,BallCalled
Right,Ump1,-0.6773842456,3.473604406,BallCalled
Right,Ump1,0.626056579,2.610945351,StrikeCalled
Right,Ump1,1.7874110509999999,3.604972947,BallCalled
Right,Ump1,-1.107634457,2.0914447430000003,BallCalled
Left,Ump1,1.457258366,2.753822731,BallCalled
Right,Ump1,1.5632798630000002,2.8984277639999996,BallCalled
Left,Ump1,0.8774891327,3.024957933,BallCalled
Left,Ump1,-0.27388086629999997,2.031393884,StrikeCalled
Left,Ump1,-0.1854681951,2.604566544,StrikeCalled
Right,Ump1,1.739918465,1.575881576,BallCalled
Right,Ump1,0.027417974360000003,1.72920166,StrikeCalled
Right,Ump1,-1.148077896,1.034931495,BallCalled
Right,Ump1,0.09970582662000001,2.992090819,StrikeCalled
Left,Ump1,1.5008450780000002,3.351994505,BallCalled
Left,Ump1,1.735527051,2.456491926,BallCalled
Left,Ump1,0.8675727020999999,3.8172403010000004,BallCalled
Left,Ump1,0.5107634501,3.2053753830000002,BallCalled
