PitchType,HorzBreak,InducedVertBreak,Pitcher
Fastball,-12.69539925,13.78768682,pitcher1
Fastball,-15.34175557,12.16814398,pitcher1
Fastball,-15.76009687,11.51000003,pitcher1
Fastball,-8.064267279,15.83910893,pitcher1
Fastball,-14.09525578,13.70250222,pitcher1
Curveball,14.43596589,-8.212918319,pitcher1
Fastball,-8.919638699999998,19.61775153,pitcher1
Fastball,-9.875605524,11.03104687,pitcher1
Fastball,-13.16266258,9.274558708999999,pitcher1
Fastball,-9.180768267000001,24.06979428,pitcher1
Fastball,-6.859417692,13.59671402,pitcher1
Fastball,-6.053524437,18.23821497,pitcher1
Curveball,13.30628501,-10.85347353,pitcher1
Fastball,-7.792443045,22.3207843,pitcher1
Fastball,-6.4430521679999995,15.12904723,pitcher1
Fastball,-9.946681431,11.95215714,pitcher1
Curveball,12.86279482,-9.68763828,pitcher1
Curveball,12.37689478,-10.62925184,pitcher1
Curveball,14.10123187,-8.865454232000001,pitcher1
Fastball,-5.762696029,15.4941934,pitcher1
Curveball,14.29270085,-9.051130108999999,pitcher1
Curveball,14.97010603,-8.91481786,pitcher1
Fastball,-13.1664737,10.49804288,pitcher1
Fastball,-8.217885229,20.50133984,pitcher1
Fastball,-7.9669992139999986,22.19350263,pitcher1
Curveball,14.93996313,-8.799752692,pitcher1
Fastball,-8.955744581,13.76101756,pitcher1
Fastball,-8.822721422,10.1414724,pitcher1
Curveball,12.48714809,-9.853224702999999,pitcher1
Curveball,16.43201993,-6.1186708770000005,pitcher1
Fastball,-10.6449166,17.42571406,pitcher1
Fastball,-6.003193401,12.46663229,pitcher1
Fastball,-4.73701151,15.73774458,pitcher1
Fastball,-7.814654751,15.18444266,pitcher1
Fastball,-5.374049554,16.64153774,pitcher1
Fastball,-8.428388731,15.11729165,pitcher1
Fastball,-11.47416565,10.43997914,pitcher1
Fastball,-14.202140300000002,10.30057604,pitcher1
Curveball,16.84378338,-9.877472362999999,pitcher1
Fastball,-14.63308247,12.03295027,pitcher1
Fastball,-13.54733185,14.953807500000002,pitcher1
Fastball,-16.20449677,7.29110815,pitcher1
Fastball,-11.96154369,15.42101485,pitcher1
Fastball,-9.680500064,14.52876945,pitcher1
Fastball,-4.276969563,16.12144131,pitcher1
Curveball,12.95668125,-13.11408827,pitcher1
Fastball,-11.11465125,12.63746798,pitcher1
Fastball,-16.79799283,11.25727904,pitcher1
Fastball,-11.0881623,12.618208300000001,pitcher1
Fastball,-12.13337022,15.32483774,pitcher1
Fastball,-11.19564995,18.72558754,pitcher1
Fastball,-10.37873801,14.30421069,pitcher1
Fastball,-11.34069127,13.86051176,pitcher1
Fastball,-13.0453543,13.18033891,pitcher1
Fastball,-8.392406057,14.28336053,pitcher1
Fastball,-9.606157701,17.0029681,pitcher1
Fastball,-11.11857692,15.63903304,pitcher1
Fastball,-7.838225994,16.32696393,pitcher1
Curveball,15.85160436,-14.27797534,pitcher1
Fastball,-13.04324978,11.73576949,pitcher1
Fastball,-10.57791491,10.88420526,pitcher1
Curveball,17.53662773,-10.49578653,pitcher1
Fastball,-10.46628617,15.35626624,pitcher1
Curveball,19.8134828,-3.7172213889999997,pitcher1
Curveball,18.2685293,-5.4998437660000015,pitcher1
Fastball,-8.476272989,19.60925427,pitcher1
Fastball,-9.475364463,13.42853334,pitcher1
Fastball,-7.4687219360000014,15.44536974,pitcher1
Fastball,-11.15415379,12.99621788,pitcher1
Fastball,-11.39410719,8.526233982,pitcher1
Fastball,-10.91430855,10.44348401,pitcher1
Curveball,15.38818105,-6.663497486,pitcher1
Fastball,-10.01900379,18.0300426,pitcher1
Fastball,-13.636822699999998,8.030564497,pitcher1
Fastball,-12.39510266,11.6572799,pitcher1
Fastball,-7.354653119,11.14864366,pitcher1
Curveball,13.86405801,-3.3148520919999998,pitcher1
Curveball,18.77500692,-0.222479807,pitcher1
Fastball,-3.756655225,14.56311451,pitcher1
Fastball,-8.114923757,13.95601434,pitcher1
Fastball,-8.675512225,9.422650726,pitcher1
Fastball,-5.529769258,16.19110707,pitcher1
Fastball,-12.78965235,14.58424608,pitcher1
Fastball,-14.87360781,11.87680174,pitcher1
Fastball,-8.779760104,14.700728699999999,pitcher1
Curveball,14.66559794,-3.112154995,pitcher1
Fastball,-4.865008326,16.53287267,pitcher1
Fastball,-7.015257291,12.91064514,pitcher1
Fastball,-3.211931035,13.66816907,pitcher1
Fastball,-4.263778365,14.72098906,pitcher1
Curveball,14.54059769,-10.391523800000002,pitcher1
Curveball,13.40591141,-14.43971207,pitcher1
Fastball,-5.229382253,16.19998696,pitcher1
Fastball,-7.933240949,16.63742268,pitcher1
Curveball,15.42325488,-12.86335827,pitcher1
Fastball,-8.192881077000001,15.3934358,pitcher1
Fastball,-6.576302374,15.92310696,pitcher1
Fastball,-11.95359743,14.05773672,pitcher1
Curveball,21.67499603,-11.24207461,pitcher1
Curveball,20.32416676,-11.19544556,pitcher1
Fastball,-13.84391499,10.40612601,pitcher1
Fastball,-5.639000932999999,14.93769311,pitcher1
Fastball,-12.14308988,16.72711776,pitcher1
Curveball,17.66988443,-6.961931043,pitcher1
Fastball,-8.298071338,10.24685252,pitcher1
Curveball,19.10940475,-7.3007289539999976,pitcher1
Curveball,19.86095607,-10.19398993,pitcher1
Fastball,-5.702409863,14.30333223,pitcher1
Fastball,-6.943520749,13.77445868,pitcher1
Fastball,-9.294709472000001,15.39173553,pitcher1
Curveball,17.70433278,-10.45663068,pitcher1
Fastball,-5.208617497,16.13380712,pitcher1
Fastball,-9.334176158,19.77852093,pitcher1
Fastball,-5.6762722760000015,11.16517676,pitcher1
Fastball,-5.819413732999999,14.57382772,pitcher1
Fastball,-5.811572878,15.30311577,pitcher1
Fastball,-3.080518503,13.77089549,pitcher1
Fastball,-6.62238816,13.42230865,pitcher1
Fastball,-17.22559693,9.67338289,pitcher1
Fastball,-7.056124629,14.09808635,pitcher1
Fastball,-8.256353236,13.58418661,pitcher1
Fastball,-3.6076895139999996,14.86561585,pitcher1
Fastball,-3.7706110510000004,16.69978066,pitcher1
Fastball,-3.678485388,14.27962039,pitcher1
Fastball,-11.55807607,13.29649996,pitcher1
Curveball,12.36167064,-8.193208071,pitcher1
Fastball,-7.499464879,20.60730037,pitcher1
Fastball,-8.447557773,16.19158539,pitcher1
Fastball,-16.53379582,16.92734423,pitcher1
Fastball,-6.962142075,13.91711195,pitcher1
Curveball,18.06613441,-11.1546758,pitcher1
Fastball,-3.824589869,19.86593737,pitcher1
Fastball,-5.098137674,13.57448126,pitcher1
Fastball,-6.439144545,14.29611226,pitcher1
Curveball,15.36777685,-12.33519425,pitcher1
Curveball,15.82725188,-13.15267868,pitcher1
Fastball,-6.816793594,19.15644269,pitcher1
Fastball,-10.1208033,14.30408092,pitcher1
Fastball,-11.584095800000002,14.26489132,pitcher1
Fastball,-7.127641196,16.97993933,pitcher1
Fastball,-4.110365648,13.87023469,pitcher1
Fastball,-6.508635153999999,15.58434102,pitcher1
Fastball,-8.18098321,15.68425835,pitcher1
Fastball,-8.064491394,13.64488847,pitcher1
Fastball,-10.8579569,17.54640398,pitcher1
Fastball,-10.58286951,16.3577404,pitcher1
Curveball,14.42396776,-6.268481296,pitcher1
Fastball,-7.513876794,14.56019867,pitcher1
Fastball,-10.151806,16.98535908,pitcher1
Curveball,13.74564719,-12.41658925,pitcher1
Curveball,15.70441285,-10.82924968,pitcher1
Fastball,-4.7386206369999995,14.75979849,pitcher1
Fastball,-3.0792948669999998,14.86283717,pitcher1
Curveball,18.91153649,-0.40734100100000004,pitcher1
Curveball,17.5690168,-11.05779505,pitcher1
Curveball,18.91874388,-7.532189737,pitcher1
Fastball,-15.54611918,11.61597444,pitcher1
Fastball,-14.57845558,7.422947439,pitcher1
Fastball,-7.08307669,15.96726561,pitcher1
Fastball,-10.66568197,15.62622699,pitcher1
Fastball,-12.19366581,15.79008584,pitcher1
Fastball,-7.715561094,16.14351081,pitcher1
Fastball,-7.4525393,13.53130059,pitcher1
Fastball,-7.746559321,14.35270525,pitcher1
Fastball,-4.573977544,16.14152452,pitcher1
Curveball,13.90788333,-1.958171128,pitcher1
Curveball,20.04268239,-10.12213187,pitcher1
Fastball,-5.394042456,19.44407346,pitcher1
Fastball,-6.394944858,14.13318371,pitcher1
Fastball,-13.64216544,16.91753137,pitcher1
Curveball,18.30111958,-8.369728226,pitcher1
Curveball,21.92743648,-10.55420474,pitcher1
Curveball,15.06584139,-9.836620949,pitcher1
Curveball,13.7969294,-12.04034697,pitcher1
Fastball,-5.676154532000001,20.61158462,pitcher1
Curveball,18.89498283,-5.544588994,pitcher1
Curveball,20.19294233,-8.109351291,pitcher1
Fastball,-11.76889111,15.69430467,pitcher1
Fastball,-5.748754477,13.130975699999999,pitcher1
Fastball,-4.696468201,17.13671763,pitcher1
Curveball,14.56628617,-10.03154758,pitcher1
Fastball,-7.9540866339999985,12.93293987,pitcher1
Curveball,11.77382106,-12.42176055,pitcher1
Curveball,15.85319698,-5.182855024,pitcher1
Curveball,14.63187237,-9.451011295,pitcher1
Fastball,-4.693060883999999,13.20244954,pitcher1
Curveball,15.72403449,-9.693355962,pitcher1
Curveball,16.22557666,-8.571446147,pitcher1
Curveball,17.59640052,-8.091414817,pitcher1
Fastball,-4.319228905,13.68148151,pitcher1
Fastball,-8.049428694,11.30530363,pitcher1
Fastball,-10.94293663,16.68030046,pitcher1
Fastball,-14.97236237,16.44622136,pitcher1
Curveball,11.37116999,-7.26669126,pitcher1
Fastball,-14.38407503,12.08121647,pitcher1
Fastball,-12.31344041,12.88411818,pitcher1
Fastball,-13.29498228,12.73940079,pitcher1
Fastball,-13.12782386,13.14920249,pitcher1
Fastball,-10.51017816,15.69843757,pitcher1
Fastball,-15.26370144,11.91115903,pitcher1
Fastball,-10.54616319,17.43313389,pitcher1
Fastball,-14.76724816,9.615698946,pitcher1
Curveball,11.10715328,-7.521330413999999,pitcher1
Fastball,-9.570356492,11.26167279,pitcher1
Fastball,-13.59229855,16.30402636,pitcher1
Fastball,-12.59785737,21.85111242,pitcher1
Curveball,8.795109036,-12.73072896,pitcher1
Fastball,-11.48497976,11.447736500000001,pitcher1
Fastball,-10.20652543,25.69880923,pitcher1
Fastball,-13.70190843,12.63079144,pitcher1
Curveball,12.33723091,-5.2868877130000005,pitcher1
Fastball,-20.71959479,9.207375398,pitcher1
Curveball,10.35760961,-6.468265597,pitcher1
Curveball,13.27500997,-7.272322222000001,pitcher1
Curveball,12.87178476,-6.31806556,pitcher1
Fastball,-9.788497801,17.57198644,pitcher1
Fastball,-17.23251223,8.2659159,pitcher1
Fastball,-11.71861626,16.69116627,pitcher1
Fastball,-17.701042,11.16350619,pitcher1
Fastball,-12.04702705,13.5105383,pitcher1
Fastball,-16.52107896,10.93072226,pitcher1
Fastball,-10.08239899,17.93237051,pitcher1
Curveball,11.15786207,-8.401920511,pitcher1
Curveball,13.96369005,-7.394615471,pitcher1
Curveball,13.02706827,-5.280455037,pitcher1
Fastball,-13.53305453,17.56826636,pitcher1
Curveball,14.73173012,-8.351922007,pitcher1
Fastball,-16.476087900000003,6.458124864,pitcher1
Fastball,-16.92104309,11.11922663,pitcher1
Curveball,12.82884632,-11.66595329,pitcher1
Fastball,-9.357670452,14.7891279,pitcher1
Curveball,13.56227571,-9.850563529,pitcher1
Fastball,-16.25081376,17.91928379,pitcher1
Fastball,-14.11723783,14.04921002,pitcher1
Fastball,-10.79632911,19.15276275,pitcher1
Fastball,-13.6310837,8.422130394,pitcher1
Fastball,-13.10669576,15.06908517,pitcher1
Fastball,-15.14565409,18.06617515,pitcher1
Curveball,16.96115827,-5.3942445810000015,pitcher1
Curveball,14.97501138,-6.676613199,pitcher1
Fastball,-7.140758971,15.63949371,pitcher1
Curveball,14.853706699999998,-10.63254453,pitcher1
Fastball,-14.7601019,8.932481597999999,pitcher1
Fastball,-11.62941178,15.87304318,pitcher1
Fastball,-10.46126891,15.03836061,pitcher1
Fastball,-13.099124400000001,12.78592258,pitcher1
Curveball,18.84568134,-6.9711658960000005,pitcher1
Fastball,-15.77037601,15.3580801,pitcher1
Fastball,-15.16549051,14.092920699999999,pitcher1
Curveball,16.23782209,-5.480349931,pitcher1
Fastball,-12.22916059,15.29757218,pitcher1
Fastball,-11.75785816,15.90267842,pitcher1
Fastball,-15.10568329,13.4083323,pitcher1
Curveball,11.6195597,-7.758121508999999,pitcher1
Fastball,-12.58898356,13.13550647,pitcher1
Curveball,15.039814100000001,-8.362421167,pitcher1
Fastball,-9.32069615,16.02563978,pitcher1
Fastball,-12.52815789,17.80441382,pitcher1
Curveball,14.52465609,-6.050421967,pitcher1
Fastball,-15.31103145,16.18060051,pitcher1
Fastball,-9.970491398,11.58852096,pitcher1
Fastball,-8.310829477999999,16.07277616,pitcher1
Fastball,-6.906251655,16.2251584,pitcher1
Fastball,-10.81447271,14.22296798,pitcher1
Curveball,9.600264184,-11.83218126,pitcher1
Fastball,-12.64573538,9.628456186000001,pitcher1
Fastball,-8.489096516,12.60814345,pitcher1
Curveball,10.97530952,-10.97015467,pitcher1
Fastball,-6.6615490170000005,15.51669622,pitcher1
Curveball,9.862175472999999,-12.16098495,pitcher1
Curveball,8.161458887,-12.57055496,pitcher1
Fastball,-6.101814694,14.72437609,pitcher1
Curveball,12.08070807,-10.88075341,pitcher1
Fastball,-11.86863075,9.690109477,pitcher1
Fastball,-10.37742288,15.09964047,pitcher1
Fastball,-10.2078003,18.01304556,pitcher1
Curveball,13.49520783,-9.991329835,pitcher1
Fastball,-11.51188041,12.89800718,pitcher1
Fastball,-8.95758504,15.85167006,pitcher1
Fastball,-10.7562493,11.87648309,pitcher1
Curveball,12.52413013,-9.190351232000001,pitcher1
Fastball,-15.72340443,11.54468797,pitcher1
Fastball,-6.211120281,19.95924785,pitcher1
Fastball,-13.82017166,10.60643536,pitcher1
Fastball,-10.25636919,12.21651201,pitcher1
Curveball,12.73990601,-6.425108892999999,pitcher1
Fastball,-9.552462681,12.33115992,pitcher1
Fastball,-12.67717653,15.03163377,pitcher1
Fastball,-14.69680711,11.19613081,pitcher1
Curveball,15.74360511,-4.954139291000001,pitcher1
Fastball,-10.12405247,15.73375961,pitcher1
Curveball,16.54860264,-8.745760933,pitcher1
Fastball,-11.70633979,15.54685287,pitcher1
Fastball,-9.104341961,18.95922315,pitcher1
Fastball,-8.373392382,14.005472,pitcher1
Fastball,-10.19485008,11.33717457,pitcher1
Curveball,14.24711154,-12.15743128,pitcher1
Fastball,-7.988230622000001,11.36587792,pitcher1
Fastball,-7.671638961,14.29371202,pitcher1
Fastball,-11.26005296,12.66825951,pitcher1
Fastball,-5.873128307000001,16.13870852,pitcher1
Fastball,-9.389295471,14.31428481,pitcher1
